sn,food_name,edible_portion,moisture,protein,fat,carbs,minerals,fiber,calories,calcium,phosphorus,iron,carotene,vitamin_c,thiamine,riboflavin,niacin,cluster_id,breakfast,lunch,dinner,food_name_clean
33,Taichin beaten rice,100.0,10.89,7.68,1.94,77.9,1.08,0.56,360.0,19.11,109.3,,,,,,,4,1,1,1,taichin beaten rice
34,Vermicelli,100.0,11.7,8.7,0.4,78.3,0.7,0.2,352.0,22.0,92.0,2.0,,,0.19,0.05,1.8,4,1,0,0,vermicelli
35,Varagu,,12.9,6.7,0.7,67.0,2.8,3.1,310.0,,,,,,,,,4,1,0,0,varagu
36,Varagu flour,100.0,12.5,6.1,1.3,69.2,1.91,2.0,313.0,,,5.56,,,,,,4,1,0,0,varagu flour
37,Wheat flour (whole),100.0,12.2,12.1,1.7,69.4,2.7,1.9,341.0,48.0,355.0,4.9,29.0,0.0,0.49,0.17,4.3,4,0,0,1,wheat flour whole
38,Wheat flour (refined),100.0,13.3,11.0,0.9,73.9,0.6,0.3,348.0,23.0,121.0,2.7,25.0,0.0,0.12,0.07,2.4,4,0,0,1,wheat flour refined
39,Wheat germ,100.0,5.2,29.2,7.4,53.3,3.5,1.4,397.0,40.0,846.0,6.0,,0.0,1.4,0.54,2.9,1,1,0,0,wheat germ
40,Wheat bran,,11.9,14.6,3.0,66.0,4.5,6.8,397.0,132.0,975.0,13.8,,0.0,0.54,0.8,5.5,4,1,0,0,wheat bran
B. PULSES & LEGUMES,,,,4.8,0.9,17.9,,1.5,129.0,,,,,,,,,0,0,1,1,
41,"Bengal gram, Big, white (whole)",100.0,10.9,21.1,4.0,56.7,2.8,4.5,347.2,56.2,300.0,5.3,,,0.3,0.15,2.9,1,0,0,1,bengal gram big white whole
42,Bengal gram dal (chickpea),100.0,9.9,20.8,5.6,59.8,2.7,1.2,372.0,56.0,331.0,5.3,129.0,1.0,0.48,0.18,2.4,1,0,1,1,bengal gram dal chickpea
43,"Bengal gram medium, white",100.0,11.1,23.2,3.7,54.6,2.7,4.7,345.0,45.6,298.0,3.6,,,,,,1,0,1,0,bengal gram medium white
44,"Bengal gram, Dark brown big",100.0,9.8,17.1,5.3,60.9,3.0,3.9,360.0,44.8,312.0,4.6,189.0,3.0,,,,4,0,1,0,bengal gram dark brown big
45,"Bengal gram, light brown small",100.0,10.9,24.0,4.1,54.9,2.4,3.7,352.5,47.6,194.0,4.4,,,,,,1,0,1,0,bengal gram light brown small
46,"Bengal gram, brown small",100.0,10.6,20.6,3.5,59.0,2.8,3.5,349.9,59.2,274.0,5.3,,,,,,1,0,1,0,bengal gram brown small
47,"Bengal gram, Small, White",100.0,11.1,23.2,3.7,54.6,2.7,4.7,344.5,45.6,298.0,3.6,,,,,,1,0,1,0,bengal gram small white
48,Black gram (Dal),100.0,10.9,24.0,1.4,59.6,3.2,0.9,347.0,154.0,385.0,3.8,38.0,0.0,0.42,0.2,2.3,1,0,1,1,black gram dal
49,Black gram (Whole),100.0,10.6,21.0,1.6,58.8,3.6,4.4,344.0,110.0,348.0,8.4,20.0,2.0,0.58,0.2,2.0,1,0,0,1,black gram whole
50,Broadbean,100.0,13.8,25.0,1.2,29.3,3.1,5.1,328.0,104.0,357.0,4.2,65.0,,0.45,0.19,2.4,1,0,1,1,broadbean
51,Black bean,100.0,9.73,23.73,1.31,58.7,4.4,2.1,342.0,,,,,,,,,1,0,1,1,black bean
52,Bhote simi,100.0,9.73,23.49,3.71,57.7,4.03,1.32,358.0,,,,,,,,,1,0,1,0,bhote simi
53,Cow Pea,97.0,13.4,24.1,1.0,54.5,3.2,3.8,323.0,77.0,414.0,8.6,12.0,0.0,0.51,0.2,1.3,1,0,0,1,cow pea
54,Fieldbean dry (simi),100.0,9.6,24.9,1.3,60.1,3.2,1.4,347.0,60.0,433.0,4.4,0.0,,0.52,0.16,1.8,1,0,1,1,fieldbean dry simi
55,Gram Flour besan,100.0,11.6,17.9,4.3,63.5,2.6,0.1,364.0,129.0,321.0,5.6,,,,,,4,1,0,0,gram flour besan
56,"Green gram (Dal), Green",100.0,10.1,24.5,1.2,59.9,3.5,4.2,348.0,75.0,405.0,3.9,49.0,0.0,0.47,0.21,2.4,1,0,1,1,green gram dal green
57,Green gram (whole),100.0,10.4,24.0,1.3,56.7,3.5,4.1,335.0,124.0,326.0,7.3,94.0,0.0,0.47,0.39,2.1,1,0,0,1,green gram whole
58,Green peas dry,100.0,10.11,23.33,1.03,61.3,2.83,3.71,348.0,,311.0,1.86,,,,,,1,0,1,0,green peas dry
59,Mung dal (yellow),100.0,8.77,26.71,0.93,58.0,3.87,1.71,348.0,,426.0,1.17,,,,,,1,0,1,1,mung dal yellow
60,Horsegram black,100.0,11.8,22.0,0.5,57.2,3.2,5.3,321.0,287.0,311.0,6.77,71.0,,0.42,0.2,1.5,1,0,1,0,horsegram black
61,Horsegram red,100.0,12.7,21.11,0.85,57.4,3.83,4.12,322.0,,,,,,,,,1,0,1,0,horsegram red
62,Khesari dal,100.0,10.0,28.2,0.6,56.6,2.3,2.3,345.0,90.0,317.0,6.3,120.0,,0.39,0.17,2.9,1,0,1,1,khesari dal
63,Katike Cow Pea,100.0,10.85,22.86,1.56,56.1,3.6,5.1,330.0,9.0,,,,,,,,1,0,1,1,katike cow pea
64,Kause bean,100.0,9.5,18.04,5.26,62.5,3.81,0.88,369.0,,,,,,,,,4,0,1,1,kause bean
65,Lentil,100.0,12.4,25.1,0.7,59.0,2.1,0.7,343.0,69.0,293.0,7.5,270.0,,0.45,0.2,2.6,1,0,1,1,lentil
66,Moth beans,100.0,10.8,23.6,1.1,56.6,3.5,4.5,330.0,202.0,230.0,9.5,9.0,2.0,0.45,0.09,1.5,1,0,1,1,moth beans
67,Moth beans (Yellow),100.0,10.57,22.95,0.46,59.1,3.68,3.27,358.0,,279.0,9.13,,,,,,1,0,1,1,moth beans yellow
68,Moth beans (Red),100.0,9.12,19.74,0.7,62.7,4.1,3.63,336.0,,,,,,,,,1,0,1,1,moth beans red
69,Peas (dry),100.0,16.0,19.7,1.9,55.7,2.2,4.5,319.0,75.0,298.0,7.05,39.0,0.0,0.47,0.19,3.4,1,0,0,1,peas dry
70,Rajmah,100.0,12.0,22.9,1.3,60.6,3.2,4.8,346.0,260.0,410.0,5.1,,,,,,1,0,0,1,rajmah
71,Red gram dal,100.0,13.4,22.3,1.7,57.6,3.5,1.5,335.0,73.0,304.0,2.7,132.0,,0.45,0.19,2.9,1,0,1,1,red gram dal
72,Soyabean (black),100.0,12.1,33.3,15.0,31.3,4.0,4.3,393.0,213.0,509.0,9.5,10.0,,0.65,0.23,2.8,1,0,1,1,soyabean black
73,Soyabean (Brown),100.0,8.1,43.2,19.5,20.9,4.6,3.7,432.0,240.0,690.0,10.4,426.0,,0.73,0.39,3.2,1,0,1,1,soyabean brown
74,Soyabean (white),100.0,10.2,33.3,17.7,29.6,5.0,4.2,411.0,226.0,546.0,8.5,10.0,0.0,0.66,0.22,2.2,1,0,1,1,soyabean white
75,Tarbare Simi (red),100.0,12.0,23.52,1.42,57.8,3.98,1.24,338.0,,,,,,,,,1,0,1,0,tarbare simi red
76,Sprout bean,,85.0,13.0,0.2,0.5,0.5,0.8,56.0,5.7,46.0,3.8,,16.8,,,,0,0,1,1,sprout bean
77,White peas big,100.0,12.3,23.3,0.8,58.0,2.5,3.1,332.0,11.0,348.0,5.3,,,,,,1,0,1,0,white peas big
78,White bean,100.0,13.66,22.6,1.42,56.6,4.81,1.42,330.0,,434.0,3.8,,,,,,1,0,1,1,white bean
79,Mung (Titura),100.0,8.6,26.2,1.3,59.5,3.5,0.9,355.0,11.0,394.0,4.8,,,,,,1,0,1,1,mung titura
80,Tofu (Soybean product),,80.5,16.5,0.3,1.6,1.1,0.03,75.0,18.4,144.0,1.0,,,,,,0,0,1,1,tofu soybean product
81,Nutrila (Soybean),100.0,10.0,46.9,1.0,33.2,6.4,1.4,329.0,33.0,565.0,12.8,,,,,,1,0,1,1,nutrila soybean
82,Amaranth (spined),,85.0,3.0,0.3,7.0,3.6,1.1,43.0,800.0,50.0,22.9,3504.0,33.0,0.0,,,0,0,1,1,amaranth spined
83,Amaranth (tender),,85.7,4.0,0.5,6.1,2.7,1.0,45.0,397.0,83.0,3.49,5520.0,99.0,0.03,0.3,1.2,0,0,1,1,amaranth tender
84,Asparagus (Kurilo),86.8,92.5,3.3,0.1,2.7,0.6,0.8,25.0,30.6,45.5,1.3,,12.8,,,,0,0,1,1,asparagus kurilo
85,Agathi,,73.1,8.4,1.4,11.8,3.1,2.2,93.0,1130.0,80.0,3.9,5400.0,169.0,0.21,0.09,1.2,0,0,1,1,agathi
86,Aniseed leaves,84.0,88.46,2.86,0.59,5.2,1.71,1.15,38.0,119.9,63.0,4.51,1575.52,42.31,,,,0,0,1,1,aniseed leaves
87,Bethel leaves,,89.6,3.7,0.4,2.9,2.6,0.8,30.0,150.0,80.0,4.2,1740.0,35.0,0.01,0.14,0.6,0,0,1,1,bethel leaves
88,Beet green,51.0,86.4,3.4,0.8,6.5,2.2,0.7,46.0,380.0,30.0,16.2,5862.0,70.0,0.26,0.56,3.3,0,0,1,1,beet green
89,Buckwheat leaves,,89.78,3.92,0.11,3.8,1.86,0.87,31.0,,,,,81.85,,,,0,1,0,0,buckwheat leaves
90,Bengalgram leaves,92.0,73.4,7.0,1.4,14.1,2.1,2.0,97.0,340.0,120.0,23.8,978.0,61.0,0.09,0.1,0.6,0,0,1,0,bengalgram leaves
91,Bottleguard leaves,,87.9,2.3,0.7,6.1,1.7,1.3,39.0,80.0,59.0,,,,,,,0,0,1,1,bottleguard leaves
92,Broadbean leaves,,77.6,5.6,0.3,11.5,1.3,1.7,71.0,111.0,149.0,,,,,,,0,0,1,1,broadbean leaves
93,Brussels sprouts,100.0,85.5,4.7,0.5,7.1,1.0,1.2,52.0,43.0,82.0,1.8,126.0,72.0,0.05,0.16,0.4,0,1,0,0,brussels sprouts
94,Cabbage green,88.0,91.9,1.8,0.1,4.6,0.6,1.0,27.0,39.0,44.0,0.8,120.0,124.0,0.06,0.09,0.4,0,0,0,1,cabbage green
95,Cabbage purple,90.0,91.6,1.9,0.2,3.5,0.6,2.2,11.0,22.7,50.4,1.1,,,,,,0,0,0,1,cabbage purple
96,"Cauliflower, Green",71.0,80.0,5.9,1.3,7.6,3.2,2.0,66.0,626.0,107.0,40.0,,,,,,0,0,1,0,cauliflower green
97,Cauliflower (flower only),100.0,88.48,0.75,2.4,6.6,,0.25,41.0,11.51,74.63,0.85,,86.62,,,,0,0,1,0,cauliflower flower only
98,Choisum Sag,,88.1,2.7,0.3,6.4,1.0,1.5,39.0,65.2,91.0,1.5,,10.3,,,,0,0,1,1,choisum sag
99,Chukandar,87.4,87.9,2.8,0.1,7.8,1.0,0.4,43.0,20.0,53.3,1.3,,,,,,0,0,1,1,chukandar
100,Chocho leaves,71.07,91.42,3.01,0.21,3.2,1.19,1.01,27.0,42.53,76.38,2.26,1042.66,11.92,,,,0,0,1,1,chocho leaves
101,Coriander leaves,70.0,86.3,3.3,0.6,6.3,2.3,1.2,44.0,184.0,71.0,1.42,6918.0,135.0,0.05,0.06,0.8,0,0,0,0,coriander leaves
102,Carrot leaves,51.0,76.6,5.1,0.5,13.1,2.8,1.9,77.0,340.0,110.0,8.8,5700.0,79.0,0.04,0.37,2.1,0,0,1,0,carrot leaves
103,Celery leaves,,88.0,6.3,0.6,1.6,2.1,1.4,37.0,230.0,140.0,6.3,3990.0,62.0,0.0,0.11,1.2,0,0,1,1,celery leaves
104,Colocasia leaves (Black variety),,78.8,6.8,2.0,8.1,2.5,1.8,77.0,460.0,125.0,0.98,12000.0,63.0,0.06,0.45,1.9,0,0,1,1,colocasia leaves black variety
105,Colocasia leaves (Green variety),,82.7,3.9,1.5,6.8,2.2,2.9,56.0,227.0,82.0,10.0,10278.0,12.0,0.22,0.26,1.1,0,0,1,1,colocasia leaves green variety
106,Colocasia leaves (dried),,9.3,13.7,5.9,42.3,12.8,16.0,277.0,1546.0,308.0,,,,,,,3,0,1,1,colocasia leaves dried
107,Cowpea leaves,,89.0,3.4,0.7,4.1,1.6,1.2,38.0,290.0,58.0,20.1,6918.0,4.0,0.05,0.18,0.6,0,0,1,1,cowpea leaves
108,Dundu,,91.39,2.57,0.9,3.66,1.16,1.22,25.0,86.22,,,,11.92,,,,0,0,1,1,dundu
109,Drumstick leaves,75.0,75.9,6.7,1.7,12.5,2.3,0.9,92.0,440.0,70.0,0.85,6780.0,220.0,0.06,0.05,0.8,0,0,1,1,drumstick leaves
110,Fenugreek leaves,59.0,86.1,4.4,0.9,6.0,1.5,1.1,49.0,395.0,51.0,1.93,2340.0,52.0,0.04,0.31,0.8,0,0,1,1,fenugreek leaves
111,Garden cress,,82.3,5.8,1.0,8.7,2.2,1.5,67.0,360.0,110.0,28.6,,,0.15,,,0,0,1,1,garden cress
112,Garden sorrel,100.0,91.9,0.6,0.2,5.1,0.9,1.3,25.0,130.0,20.0,1.7,78.0,5.0,0.0,0.07,1.2,0,0,1,1,garden sorrel
113,Garlic (stem & leaves),92.0,79.5,2.4,0.5,15.1,0.9,1.6,76.0,53.0,42.0,0.6,845.0,36.0,0.1,0.13,0.6,0,0,1,1,garlic stem leaves
114,Gyanth Kobi,,89.6,2.6,1.0,6.0,0.63,0.2,43.0,19.3,50.8,13.2,,8.6,,,,0,0,1,1,gyanth kobi
115,Gyanth Kobi Leaves,,86.0,2.8,0.5,9.7,0.2,0.8,56.0,31.1,56.0,0.1,,10.1,,,,0,0,1,1,gyanth kobi leaves
116,Gothale Sag,,83.8,2.07,0.4,9.6,2.06,2.01,51.0,274.0,,,,31.6,,,,0,0,1,1,gothale sag
117,jaluka Saag,,87.0,2.4,0.43,5.5,1.66,3.02,35.0,254.45,49.0,3.6,,3.25,,,,0,0,1,0,jaluka saag
118,Khesari leaves,,84.2,6.1,1.0,5.5,1.1,2.1,55.0,160.0,100.0,7.3,3000.0,41.0,0.01,0.03,,0,0,1,1,khesari leaves
119,Koiralo Sag,,78.1,3.6,1.0,9.7,2.1,5.5,62.0,312.0,92.0,,,,,,,0,0,1,1,koiralo sag
120,Khole garden cress,,89.16,3.5,0.4,4.4,1.57,0.95,35.0,113.0,,,,,,,,0,0,1,1,khole garden cress
121,Knol-knol green,73.0,86.7,3.5,0.4,6.4,1.2,1.8,43.0,740.0,50.0,13.3,4146.0,157.0,0.25,,3.0,0,0,1,1,knol knol green
122,Kitchen garden pesley,51.0,90.5,2.4,0.6,2.9,2.3,1.3,27.0,111.0,45.0,14.8,2292.0,29.0,0.22,0.7,29.0,0,0,1,1,kitchen garden pesley
123,lettuce,66.0,93.4,2.1,0.3,2.5,1.2,0.5,21.0,50.0,28.0,2.4,990.0,10.0,0.09,0.13,0.5,0,0,1,1,lettuce
124,love-lies bleeding,,90.0,3.0,0.7,2.0,3.3,1.0,26.0,200.0,40.0,,,,,,,0,0,1,1,love lies bleeding
125,Mint,45.0,84.9,4.8,0.6,5.8,1.9,2.0,48.0,200.0,62.0,15.6,1620.0,27.0,0.05,0.26,1.0,0,0,1,1,mint
126,Mustard leaves,,89.8,4.0,0.6,3.2,1.6,0.8,34.0,155.0,26.0,16.3,2622.0,33.0,0.03,,,0,0,1,1,mustard leaves
127,Nakore sag,,87.16,2.49,0.18,8.0,1.26,0.89,44.0,83.54,,,,84.39,,,,0,0,1,1,nakore sag
128,Niguro green,,93.25,1.15,0.15,3.4,,0.99,19.0,,117.0,1.03,,6.2,0.03,0.0,1.5,0,0,1,1,niguro green
129,Neem leaves tender,100.0,59.4,11.6,3.0,21.2,2.6,2.2,158.0,130.0,190.0,25.3,2760.0,104.0,0.03,0.0,1.5,0,0,1,1,neem leaves tender
130,Poisag,,90.8,2.8,0.4,4.2,1.8,1.5,32.0,200.0,35.0,1.0,7440.0,87.0,0.03,0.16,1.0,0,0,1,1,poisag
131,Patua sag,,81.4,5.1,1.1,8.1,2.7,1.6,63.0,241.0,93.0,,,,,,,0,0,1,1,patua sag
132,Potato leaves,,88.4,4.4,0.9,3.6,1.8,1.3,40.0,120.0,50.0,,,,,,,0,0,1,0,potato leaves
133,Pumpkin leaves,,81.9,4.6,0.8,6.9,3.7,2.1,53.0,392.0,112.0,,497.9,,,,,0,0,1,0,pumpkin leaves
134,Purple Cabbage,90.0,91.6,1.9,0.2,52.0,0.6,2.2,66.0,22.7,50.4,1.1,,,,,,0,0,1,0,purple cabbage
135,Rape leaves,,84.9,5.1,0.4,5.9,2.5,1.2,48.0,370.0,110.0,12.5,130.0,65.0,0.01,0.03,0.9,0,0,1,1,rape leaves
136,Radish leaves,100.0,90.8,3.8,0.4,2.4,1.6,1.0,28.0,265.0,59.0,0.9,1300.86,81.0,0.18,0.47,0.8,0,0,1,0,radish leaves
137,Rapes leaves dried,,7.4,27.0,2.9,40.7,15.3,6.7,297.0,3095.0,500.0,,,,,,,1,0,1,1,rapes leaves dried
138,Safflower leaves,66.0,91.1,2.5,0.6,4.5,1.3,1.5,33.0,185.0,35.0,5.7,3540.0,15.0,0.04,0.1,0.0,0,0,1,1,safflower leaves
139,Sim saag fresh,79.0,93.74,2.4,0.44,1.5,1.23,0.67,20.0,127.07,52.72,3.2,2685.31,,,,,0,0,1,0,sim saag fresh
140,Spinach,,92.1,2.0,0.7,2.9,1.7,0.6,26.0,73.0,21.0,1.14,,28.0,0.03,0.26,0.5,0,0,0,1,spinach
141,Stinging Nettle (Sisnu) leaves,,81.7,6.9,0.2,5.0,4.2,1.8,53.0,981.3,,,,5.5,,,,0,0,1,1,stinging nettle sisnu leaves
142,Soya leaves,,79.5,6.0,0.5,10.8,3.2,1.5,72.0,180.0,190.0,8.0,,,0.16,,,0,0,1,1,soya leaves
143,Sweet potato green leaves,100.0,80.7,4.2,0.8,9.7,2.2,2.4,63.0,360.0,60.0,1.14,750.0,27.0,0.24,1.7,27.0,0,0,1,0,sweet potato green leaves
144,Sweetchard,100.0,90.1,2.21,0.24,5.3,1.44,0.7,32.0,86.4,26.8,4.57,2660.0,33.83,,,,0,0,1,1,sweetchard
145,Tamarind leaves tender,,8.9,8.6,3.0,60.9,8.5,10.1,305.0,1485.0,124.0,,,,,,,4,0,1,1,tamarind leaves tender
146,Tanki Sag,100.0,45.6,1.3,0.8,44.2,4.2,3.7,190.0,361.0,,6.1,,9.5,,,,0,0,1,1,tanki sag
147,Thai spinach,,89.1,2.3,0.3,6.1,1.4,0.8,36.0,79.5,64.8,2.4,,10.0,,,,0,0,1,0,thai spinach
148,Turnip green leaves,51.0,81.9,4.0,1.5,9.4,2.2,1.0,67.0,710.0,60.0,24.4,2136.0,180.0,0.31,0.57,5.4,0,0,1,1,turnip green leaves
149,Ashgourd,67.0,96.5,0.4,0.1,1.9,0.3,0.8,10.0,30.0,20.0,0.8,0.0,1.0,0.06,0.01,0.4,0,0,0,1,ashgourd
150,Agathi flower,,92.9,1.0,0.5,4.4,0.4,0.8,26.0,9.0,5.0,,,,,,,0,0,1,1,agathi flower
151,Bitter gourd,97.0,92.4,1.6,0.2,4.2,0.8,0.8,25.0,20.0,70.0,0.61,126.0,88.0,0.07,0.09,0.5,0,0,1,0,bitter gourd
152,Barela,80.0,90.43,0.99,0.26,6.7,0.81,0.79,33.0,143.65,50.99,2.0,,6.86,,,,0,0,1,1,barela
153,Bottle gourd,86.0,96.1,0.2,0.1,2.5,0.5,0.6,12.0,20.0,10.0,0.46,0.0,0.0,0.03,0.01,0.2,0,0,0,1,bottle gourd
154,Brinjal,91.0,92.7,1.4,0.3,4.0,0.3,1.3,24.0,18.0,47.0,0.37,74.0,12.0,0.04,0.11,0.9,0,0,0,1,brinjal
155,Broadbeans,88.0,85.4,4.5,0.1,7.2,0.8,2.0,48.0,50.0,64.0,1.4,9.0,12.0,0.08,,0.8,0,0,1,1,broadbeans
156,Bamboo shoot (tender),54.0,88.8,3.9,0.5,5.7,1.1,1.5,43.0,20.0,65.0,0.1,0.0,5.0,0.08,0.19,0.2,0,0,1,1,bamboo shoot tender
157,Broccoli marrow,80.0,85.61,4.99,0.2,7.1,1.12,0.94,50.0,44.86,108.9,1.52,630.0,,,,,0,0,1,1,broccoli marrow
158,Cauliflower,70.0,90.8,2.6,0.9,4.0,1.0,1.2,30.0,33.0,57.0,1.23,30.0,56.0,0.04,0.1,1.0,0,0,0,1,cauliflower
159,Cho-chomarrow,,92.5,0.7,0.1,5.7,0.4,0.6,27.0,140.0,30.0,0.6,0.0,4.0,0.0,0.04,0.4,0,0,1,1,cho chomarrow
160,Cluster beans,,81.0,3.2,0.4,10.8,1.4,3.2,16.0,130.0,57.0,1.08,198.0,49.0,0.09,0.03,0.6,0,0,1,1,cluster beans
161,Cowpea pods,,85.3,3.5,0.2,8.1,0.9,2.0,48.0,72.0,59.0,2.5,564.0,14.0,0.07,0.09,0.9,0,0,1,1,cowpea pods
162,Cucumber,83.0,96.3,0.4,0.1,2.5,0.3,0.4,13.0,10.0,25.0,0.6,0.0,7.0,0.03,0.0,0.2,0,0,0,1,cucumber
163,Chattel,79.0,89.72,2.04,0.18,6.1,0.78,1.2,34.0,70.08,45.79,0.92,,317.69,,,,0,0,1,1,chattel
164,Colocasia stem,86.0,94.0,0.3,0.3,3.6,1.2,0.6,18.0,60.0,20.0,0.5,104.0,3.0,0.07,0.07,0.1,0,0,1,1,colocasia stem
165,Capsicum Yellow,97.0,88.69,0.86,0.11,17.2,0.5,0.66,73.23,17.05,33.55,1.94,,115.82,,,,0,0,1,1,capsicum yellow
166,Capsicum Red,97.0,88.86,0.92,0.1,25.2,0.55,0.7,105.38,25.41,35.38,2.38,,,,,,0,0,1,1,capsicum red
167,Capsicum Green,97.0,93.0,0.9,0.11,25.0,0.52,0.7,103.6,25.1,32.65,,,48.03,,,,0,0,1,1,capsicum green
168,Chillies Akbare Fresh,100.0,85.77,3.81,0.62,8.2,,0.76,53.42,,,,,,,,,0,0,1,1,chillies akbare fresh
169,Chillies Akbare Dry,100.0,11.39,13.97,7.77,52.9,6.64,7.34,337.37,,306.0,5.43,,,,,,4,0,1,1,chillies akbare dry
170,Celery Stalks,,93.5,0.8,0.1,3.5,0.9,1.2,18.0,30.0,38.0,4.8,520.0,6.0,0.12,0.05,0.3,0,0,1,1,celery stalks
